"Fournisseur";"Code fournisseur";"Designation fournisseur";"Article propose";"Confiance";"Valider O/N";"Si a corriger: bon article"
"Promocash";"837674";"ST 100G CIBOULETTE EQR IMP";"Ciboulette";"haute";"";""
"Promocash";"341888";"POIREAU BIO GERME 75G";"Poireau";"moyenne";"";""
"Promocash";"650991";"200G MUNSTER MARIKEL 11 CM";"Munster";"moyenne";"";""
"Promocash";"045151";"1L VINAIGRE 3.8% MELFOR";"Melfor";"moyenne";"";""
"Promocash";"200243";"50 BOL SALADE 750. SLR750C SEK";"Salade";"moyenne";"";""
"Promocash";"312860";"500G BEURRE DEMI-SEL GASTRONOM";"Beurre";"moyenne";"";""
"Promocash";"385260";"1KG FARINE DE BLE T55 NO NAME";"Farine";"moyenne";"";""
"Promocash";"681049";"JARRET ARRIERE BRAISE CUIT";"Jarret";"moyenne";"";""
"Promocash";"682588";"650ML ULTRA DEGRAIS.CITRON SLP";"Citron";"moyenne";"";""
"Promocash";"217929";"5KG CACAO 50% PALET EC";"Cacao";"moyenne";"";""
"Promocash";"629361";"FL.1KG AROME MAGGI";"Maggi";"moyenne";"";""
"Ruhlmann-Schutz";"";"RUHLMANN RIESLING Granit Sec";"Ruhlmann Riesling Granit Sec";"haute";"";""
"Ruhlmann-Schutz";"";"CHATEAU VALMONT AVENTURE BIO";"Chateau Valmont Aventure";"haute";"";""
"Ruhlmann-Schutz";"";"RUHLMANN PINOT GRIS Tête de Cuvée BIO Demi-sec";"Pinot Gris";"haute";"";""
"Sapam";"DE";"RADIS ROUGE EQUEUTE ALL SACHET 1KG I X10 P O.1 1";"Radis Rouge Equeute";"haute";"";""
"Sapam";"";"Frais forfaitaires (Art. 10)";"Frais Forfaitaires";"haute";"";""
"Sapam";"";"Frais forfaitaires";"Frais Forfaitaires";"haute";"";""
"Sapam";"";"PATATE DOUCE EG 6KG";"Patate Douce Eg";"haute";"";""
"Sapam";"";"Pommes de terre";"Pommes de terre";"haute";"";""
"Sapam";"EG";"PATATE DOUCE EG 6KG I";"Patate Douce Eg";"haute";"";""
"Sapam";"";"CELERI BRANCHE FR 5SKG";"Celeri Branche";"haute";"";""
"Sapam";"FR";"CELERI BRANCHE FR 5SKG I";"Celeri Branche";"haute";"";""
"Sapam";"";"CELERI RAVE HVE3 ALS";"Celeri Rave";"haute";"";""
"Sapam";"";"CH PLEUROTE FR 2KG";"Ch Pleurote";"haute";"";""
"Sapam";"";"FX CITRON VERT BR LIME";"Citron vert";"haute";"";""
"Sapam";"";"PERSIL PLAT ALL 5KG";"Persil plat";"haute";"";""
"Sapam";"";"PERSIL PLAT ALS";"Persil plat";"haute";"";""
"Sapam";"";"PERSIL PLAT ES";"Persil plat";"haute";"";""
"Sapam";"BR";"FX CITRON VERT BR LIME I X48";"Citron vert";"haute";"";""
"Sapam";"BR";"FX CITRON VERT BR LIME I X54";"Citron vert";"haute";"";""
"Sapam";"DE";"PERSIL PLAT ALL 5KG I";"Persil plat";"haute";"";""
"Sapam";"ES";"OG AIL EPLUCHE ES 1KG I X12";"Ail epluché";"haute";"";""
"Sapam";"ES";"PERSIL PLAT ES BTE100G I P O.1 2";"Persil plat";"haute";"";""
"Sapam";"ES";"PERSIL PLAT ES BTE100G I";"Persil plat";"haute";"";""
"Sapam";"ES";"PERSIL PLAT ES I POLY X20 P O.1 2";"Persil plat";"haute";"";""
"Sapam";"ES";"PERSIL PLAT ES I POLY X20";"Persil plat";"haute";"";""
"Sapam";"FR";"CELERI RAVE HVE3 ALS I X10 P O.1 1";"Celeri Rave";"haute";"";""
"Sapam";"FR";"CELERI RAVE HVE3 ALS I X10";"Celeri Rave";"haute";"";""
"Sapam";"FR";"CH PLEUROTE FR 2KG I";"Ch Pleurote";"haute";"";""
"Sapam";"FR";"PERSIL PLAT ALS I";"Persil plat";"haute";"";""
"Sapam";"IT";"PERSIL PLAT ITA I";"Persil plat";"haute";"";""
"Sapam";"MA";"FX CITRON VERT MA LIME I X54";"Citron vert";"haute";"";""
"Sapam";"";"CHOU FLEUR BRET EXT X6 P";"Chou-Fleur";"haute";"";""
"Sapam";"";"CHOU FLEUR FR";"Chou-Fleur";"haute";"";""
"Sapam";"";"CHOU FLEUR HVE3 ALS";"Chou-Fleur";"haute";"";""
"Sapam";"";"CHOU ROUGE HVE3 ALS";"Chou Rouge";"haute";"";""
"Sapam";"";"HCIBOULETTE FR BQ100G";"Ciboulette";"haute";"";""
"Sapam";"";"HCIBOULETTE FR SACH100G";"Ciboulette";"haute";"";""
"Sapam";"";"HCIBOULETTE MA BO100G";"Ciboulette";"haute";"";""
"Sapam";"";"HCIBOULETTE MA BOQ100G";"Ciboulette";"haute";"";""
"Sapam";"";"HCIBOULETTE MA BQ100G";"Ciboulette";"haute";"";""
"Sapam";"FR";"CHOU FLEUR BRET EXT X6";"Chou-Fleur";"haute";"";""
"Sapam";"FR";"CHOU FLEUR FR I X6";"Chou-Fleur";"haute";"";""
"Sapam";"FR";"CHOU ROUGE HVE3 ALS I X6";"Chou Rouge";"haute";"";""
